編號,資料來源,資料名稱,我們的建議分類,主要欄位,分類及編號,資料集描述,主要欄位說明
659,臺北市政府資訊局,市政網站整合平台之熱門活動,16,市政網站整合平台之熱門活動主要欄位說明,公共資訊,市政網站整合平台之熱門活動資料集描述,市政網站整合平台之熱門活動主要欄位說明
660,臺北市政府衛生局,臺北市急救責任醫院,3,"title(醫院名稱), address_for_display(顯示用地址),address_for_system(系統辨識用地址) telephone(電話)",公共資訊,臺北市急救責任醫院,"title(醫院名稱), address_for_display(顯示用地址),address_for_system(系統辨識用地址) telephone(電話)"
661,臺北市政府社會局,社會福利統計_災害救濟物資庫存,14,縣市鄉鎮、物資存放點、主/次分類、條碼號、品名、最小單位規格、庫存數量、單位、保存期限,公共資訊,社會福利統計_災害救濟物資庫存明細資料呈現於GitHub。,縣市鄉鎮、物資存放點、主/次分類、條碼號、品名、最小單位規格、庫存數量、單位、保存期限
662,臺北市政府研究發展考核委員會,各機關權管業務法令授權得公布違規者相關資料規定調查表,12,"機關名稱,業務項目,法規名稱,條文項次及內容,目前執行情形",公共資訊,各機關權管業務所涉中央或地方法令之「罰則」規定中，是否定有授權各機關得公布違規者（包括個人、公司、行號或團體）之姓名、名稱、地址及其他相關資料規定之調查結果,"機關名稱,業務項目,法規名稱,條文項次及內容,目前執行情形"
663,臺北市政府人事處,臺北市政府年度因公派員出國及赴大陸地區計畫,12,本府年度因公派員出國及赴大陸地區計畫項目表 ,公共資訊,收錄本府年度因公派員出國及赴大陸地區計畫資料,本府年度因公派員出國及赴大陸地區計畫項目表 
664,臺北市政府都市發展局,臺北市國民住宅配售(租)情形,15,臺北市國民住宅配售(租)情形,公共資訊,臺北市國民住宅配售(租)情形,臺北市國民住宅配售(租)情形
665,臺北市政府都市發展局,臺北市國民住宅配售(租)概況,15,臺北市國民住宅配售(租)概況,公共資訊,臺北市國民住宅配售(租)概況,臺北市國民住宅配售(租)概況
666,臺北市政府工務局大地工程處,大地工程處風災處理點位案件,14,編號、災情種類、災害地點、辦理情形。,公共資訊,大地工程處風災處理點位案件,編號、災情種類、災害地點、辦理情形。
667,臺北市立動物園,臺北市立動物園_動物資料,4,中文名、摘要說明、關鍵字、別名、WGS84座標系統(WKT格式)、館區、POI群組、英文名、學名、分類學_門、分類學_綱、分類學_目、分類學_科、保育等級、地理分布、棲地型態、形態特徵、生態習性、食性、面臨問題、解說、主題網頁、主題網頁URL、動物認養焦點物種、編號代號、照片說明及URL(4組)、PDF說明及URL(2組)、聲音說明及URL(3組)、影片URL、資料更新日期、序號,求學及進修,本資料集提供臺北市立動物園園區之動物導覽整合資訊，藉由文字、圖片、影音等解說媒，融合保育及教育的觀點解說動物的生態習性，帶領社會大眾一同探索野生動物的奧秘。(本資料集開放授權應用內容僅限文字範圍，圖片、聲音及影片等多媒體資訊不在開放授權範圍),中文名、摘要說明、關鍵字、別名、WGS84座標系統(WKT格式)、館區、POI群組、英文名、學名、分類學_門、分類學_綱、分類學_目、分類學_科、保育等級、地理分布、棲地型態、形態特徵、生態習性、食性、面臨問題、解說、主題網頁、主題網頁URL、動物認養焦點物種、編號代號、照片說明及URL(4組)、PDF說明及URL(2組)、聲音說明及URL(3組)、影片URL、資料更新日期、序號
668,臺北市政府衛生局,廣告審查件數統計表,12,藥粧廣告分類、申請件數、核准件數、廣告規費收入,公共資訊,藥物、化粧品廣告審查件數統計表,藥粧廣告分類、申請件數、核准件數、廣告規費收入
669,臺北市政府主計處,105年度臺北市附屬單位預算案,12,105年度臺北市附屬單位預算案,公共資訊,105年度臺北市附屬單位預算案,105年度臺北市附屬單位預算案
670,臺北市政府主計處,104年度臺北市附屬單位預算,12,104年度臺北市附屬單位預算,公共資訊,104年度臺北市附屬單位預算,104年度臺北市附屬單位預算
671,臺北市政府研究發展考核委員會,臺北市政府創意提案競賽要點,12,「目標」、「實施對象」、「提案受理範圍」、「提案不受理範圍」、「獎項類別」、「提案配賦」、「報名方式」、「作業期程」、「評審作業」、「評分指標」、「獎勵方式」、「表揚與傳承」、「其他事項」,公共資訊,為激發本府各機關全體同仁加強運用智慧及發揮創意，檢討、研提與機關業務相關之各項興革意見、專題研究及參與制度，進而落實施行創新便民服務、行政流程改造及開源節流效能，以提升行政效率，增進為民服務品質。,「目標」、「實施對象」、「提案受理範圍」、「提案不受理範圍」、「獎項類別」、「提案配賦」、「報名方式」、「作業期程」、「評審作業」、「評分指標」、「獎勵方式」、「表揚與傳承」、「其他事項」
672,臺北市政府研究發展考核委員會,臺北市政府推行為民服務工作電話禮貌測試實施計畫,12,「依據」、「目的」、「實施對象」、「實施方式」、「測試項目及配分」、「成績計算」、「講習及複測作業」、「懲處作業」、「補充事宜」,公共資訊,為落實民眾導向之電話服務禮貌運動，培養本府所屬各機關同仁便民親民之公務價值觀，以提高市府為民服務形象。各機關依此計畫建立為民服務工作自行考核電話禮貌制度，提升服務品質。,「依據」、「目的」、「實施對象」、「實施方式」、「測試項目及配分」、「成績計算」、「講習及複測作業」、「懲處作業」、「補充事宜」
673,臺北市政府研究發展考核委員會,臺北市政府創意提案成果彙編,12,「推動緣起」、「評獎過程」、「獲獎提案成果分享」、「附錄」,公共資訊,為增進服務品質，提升行政效率，臺北市政府率全國之先，於96年7月推行創意提案會報制度，至103年已辦理第8年。透過各項評審與獎勵機制，已有效激勵機關同仁提出優良之創意點子，成效良好，深獲民眾之認同與好評。,「推動緣起」、「評獎過程」、「獲獎提案成果分享」、「附錄」
674,臺北市政府研究發展考核委員會,臺北市政府所屬各機關為民服務工作不定期現場考核實施計畫,12,「依據」、「目的」、「考核對象」、「實施方式」、「補充事宜」,公共資訊,落實推動為民服務工作品質，樹立優質服務典範，鼓勵創新服務，期提高行政效率與民眾滿意度。,「依據」、「目的」、「考核對象」、「實施方式」、「補充事宜」
675,臺北自來水事業處,臺北自來水事業處無障礙設施資料表,905,"單位'、無障礙設施項目、設施地點、設施地址、數量
",生活安全及品質,臺北自來水事業處無障礙設施資料表,"單位'、無障礙設施項目、設施地點、設施地址、數量
"
676,臺北市立圖書館,臺北市立圖書館各分館暨民眾閱覽室,7,名稱、地址、電話、傳真,公共資訊,臺北市立圖書館各分館暨民眾閱覽室分佈圖,名稱、地址、電話、傳真
677,臺北市稅捐稽徵處,繳稅方式,16,"長期約定轉帳、電話語音轉帳、網際網路轉帳、自動櫃員機轉帳、便利商店、金融機構
",公共資訊,"提供繳稅方式適用範圍、適用期間、適用對象、操作程序、納稅人負擔手續費、稅捐處是否另行寄發繳納證明等資訊以維護納稅義務人權益。
","長期約定轉帳、電話語音轉帳、網際網路轉帳、自動櫃員機轉帳、便利商店、金融機構
"
678,臺北市政府衛生局,臺北市健康服務中心,3,健康服務中心名稱、網址、行政區、地址、電話,公共資訊,各區健康服務中心,健康服務中心名稱、網址、行政區、地址、電話
679,臺北市政府觀光傳播局,104年度台北市有線電視系統業者服務品質暨收視戶滿意度調查,16,104年度台北市有線電視系統業者服務品質,休閒旅遊,104年度台北市有線電視系統業者服務品質暨收視戶滿意度調查,104年度台北市有線電視系統業者服務品質
680,臺北市政府觀光傳播局,來臺旅客在臺北市之消費及動向調查,4,從摘要「臺北市國際旅遊市場相關指標值」可知該調查年度來臺旅客人次、來臺旅客到訪臺北市比率、來臺旅客到訪臺北市人次、臺北市觀光外匯收入、來臺旅客在臺北市平均每人每次消費、來臺旅客在臺北市平均每人每次消費、來臺旅客在臺北市平均停留天數、來臺旅客在臺北市平均每人每日消費、來臺旅客到訪臺北市對臺北市旅館整體滿意度等。,休閒旅遊,"為瞭解來臺旅客在臺北市之消費及動向，觀光傳播局自101年開始辦理「來臺旅客在臺北市之消費及動向調查」，主要目的在推估來臺旅客到訪臺北市的比率、旅遊動機、動向、在臺北市之消費金額及消費情形，對臺北市的印象等，所得訊息供相關單位訂定觀光宣傳推廣策略、改善觀光設施及提昇服務品質之參考。
",從摘要「臺北市國際旅遊市場相關指標值」可知該調查年度來臺旅客人次、來臺旅客到訪臺北市比率、來臺旅客到訪臺北市人次、臺北市觀光外匯收入、來臺旅客在臺北市平均每人每次消費、來臺旅客在臺北市平均每人每次消費、來臺旅客在臺北市平均停留天數、來臺旅客在臺北市平均每人每日消費、來臺旅客到訪臺北市對臺北市旅館整體滿意度等。
681,臺北自來水事業處,臺北自來水事業處漏水率資訊,16,年度及漏水率,生活安全及品質,自來水處歷年漏水率資料,年度及漏水率
682,臺北市建築管理工程處,臺北市建築物外牆飾面剝落尚未改善列管案件,,臺北市建築物外牆飾面剝落尚未改善列管案件,公共資訊,臺北市建築物外牆飾面剝落尚未改善列管案件,臺北市建築物外牆飾面剝落尚未改善列管案件
683,臺北市政府研究發展考核委員會,年度施政計畫由府列管計畫期中查證報告表,12,計畫編號、計畫名稱、主辦機關、查證日期、地點,公共資訊,呈現施政計畫期中查證,計畫編號、計畫名稱、主辦機關、查證日期、地點
684,臺北市政府消防局,臺北市消防分隊駐地位置圖,14,分隊名稱、座標(TWD97),公共資訊,臺北市消防分隊駐地位置,分隊名稱、座標(TWD97)
685,臺北大眾捷運股份有限公司,臺北市-臺北捷運轉乘車站轉乘步行時間,101,轉乘車站、轉乘步行時間,交通及通訊,臺北捷運轉乘車站轉乘步行時間,轉乘車站、轉乘步行時間
686,臺北市市場處,臺北市市場處無障礙設施,905,場地名稱、地址、無障礙設施內容、備註,公共資訊,臺北市市場處無障礙設施設置情形,場地名稱、地址、無障礙設施內容、備註
687,臺北市政府教育局,臺北市五項藝術比賽,10,臺北市五項藝術比賽計有本市學生音樂比賽、美術比賽、舞蹈比賽、鄉土歌謠比賽、創意戲劇比賽相關容。,公共資訊,臺北市五項藝術比賽計有本市學生音樂比賽、美術比賽、舞蹈比賽、鄉土歌謠比賽、創意戲劇比賽相關內容。,臺北市五項藝術比賽計有本市學生音樂比賽、美術比賽、舞蹈比賽、鄉土歌謠比賽、創意戲劇比賽相關容。
688,臺北市政府捷運工程局北區工程處,臺北都會區大眾捷運系統新莊線施工範圍圖,8,路線別、工程標號、施工起迄時間、工程轄區、轄區車站、施工工程處、施工工務所、工務所主任、聯絡電話、	聯絡地址、施工範圍圖、備註,交通及通訊,臺北都會區大眾捷運系統新莊線施工範圍相關資料,路線別、工程標號、施工起迄時間、工程轄區、轄區車站、施工工程處、施工工務所、工務所主任、聯絡電話、	聯絡地址、施工範圍圖、備註
689,臺北市政府捷運工程局北區工程處,臺北都會區大眾捷運系統環狀線施工範圍圖(北區工程處施作範圍),8,路線別、工程標號、施工起迄時間、工程轄區、轄區車站、施工工程處、施工工務所、工務所主任、聯絡電話、	聯絡地址、施工範圍圖、備註,交通及通訊,臺北都會區大眾捷運系統環狀線施工範圍相關資料,路線別、工程標號、施工起迄時間、工程轄區、轄區車站、施工工程處、施工工務所、工務所主任、聯絡電話、	聯絡地址、施工範圍圖、備註
690,臺北市政府捷運工程局北區工程處,臺灣桃園國際機場聯外捷運系統三重至臺北車站特定專用區路段施工範圍圖,8,路線別、工程標號、施工起迄時間、工程轄區、轄區車站、施工工程處、施工工務所、工務所主任、聯絡電話、	聯絡地址、施工範圍圖、備註,交通及通訊,臺灣桃園國際機場聯外捷運系統三重至臺北車站特定專用區路段施工範圍相關資料,路線別、工程標號、施工起迄時間、工程轄區、轄區車站、施工工程處、施工工務所、工務所主任、聯絡電話、	聯絡地址、施工範圍圖、備註
691,臺北市政府消防局,臺北市政府消防局各單位通訊錄,12,單位、電話、傳真及地址。,公共資訊,提供本府消防局局本部及各外勤大、中、分隊地址、電話及傳真號碼。,單位、電話、傳真及地址。
692,臺北市政府警察局,103年財產統計表,12,財產類別(土地、土地改良物、房屋建築及設備、機械及設備、交通及運輸設備、什項設備、有價證券、權利、其他),公共資訊,103年財產增減情形,財產類別(土地、土地改良物、房屋建築及設備、機械及設備、交通及運輸設備、什項設備、有價證券、權利、其他)
693,臺北市松山地政事務所,臺北市松山、信義、南港區已登記公私有土地筆數面積統計表,13,表報年度、公有、私有、公私共有別、已登記土地面積、已登記土地筆數。,公共資訊,提供「松山、信義、南港區已登記公私有土地筆數面積」，呈現使民眾了解本所管轄區公私有筆數、面積統計資料。,表報年度、公有、私有、公私共有別、已登記土地面積、已登記土地筆數。
694,臺北市立動物園,4,11,中文名、摘要說明、關鍵字、別名、WGS84座標系統(WKT格式)、位置、英文名、學名、分類學_科、分類學_屬、簡介、地理分布、編號代號、照片說明及URL(4組)、PDF說明及URL(2組)、聲音說明及URL(3組)、影片URL、資料更新日期、序號,求學及進修,大自然裡除了有各式各樣的動物活躍其間，還有許多美麗繽紛的植物共榮共存，經由動植物間的交互作用進而創造了地球上的生態系多樣性。本資料集提供臺北市立動物園園區之植物展示導覽資訊，帶領社會大眾一同探索植物的奧秘。(本資料集開放授權應用內容僅限文字範圍，圖片、聲音及影片等多媒體資訊不在開放授權範圍),中文名、摘要說明、關鍵字、別名、WGS84座標系統(WKT格式)、位置、英文名、學名、分類學_科、分類學_屬、簡介、地理分布、編號代號、照片說明及URL(4組)、PDF說明及URL(2組)、聲音說明及URL(3組)、影片URL、資料更新日期、序號
695,臺北市交通事件裁決所,臺北市交通事件裁決所無障礙設施設置資料,102,無障礙設施設備,公共資訊,臺北市交通事件裁決所無障礙設施設置情形,無障礙設施設備
696,臺北市政府主計處,家庭收支訪問調查,12,"統計期、統計項目、統計資料、資料來源、附註、更新日期。
",公共資訊,臺北市家庭收支－行政區別、臺北市家庭收支－經濟戶長職業別、臺北市每戶家庭收支－行政區別、臺北市每戶家庭收支－經濟戶長行業別、臺北市每戶家庭收支－經濟戶長職業別、臺北市每戶家庭收支－經濟戶長社會經濟特性別、臺北市每戶家庭收支－經濟戶長性別、臺北市每戶家庭收支－經濟戶長年齡組別、臺北市每戶家庭收支－經濟戶長教育程度別、臺北市每戶家庭收支－人數別、臺北市每戶家庭收支－家庭組織型態別、臺北市每戶家庭收支－住宅狀況別、臺北市每戶家庭收支－可支配所得戶數五等分位別、臺北市每戶可支配所得及消費支出－可支配所得戶數五等分位別及農家、非農家別、臺北市每戶可支配所得及消費支出－可支配所得戶數五等分位別及經濟戶長性別、年齡組別、教育程度別、臺北市家庭戶數－經濟戶長性別及每戶所得總額(經常性收入)組別、臺北市家庭戶數－經濟戶長性別及每戶消費支出組別、臺北市家庭住宅及主要設備概況－行政區別、臺北市家庭住宅及主要設備概況－經濟戶長職業別、臺北市家庭住宅及主要設備概況－家庭組織型態別、臺北市家庭住宅及主要設備概況－可支配所得戶數五等分位別、臺北市所得收入者每人所得－行業別、臺北市所得收入者每人所得－職業別、臺北市所得收入者每人所得－社會經濟特性別、臺北市所得收入者每人所得－年齡組別、臺北市所得收入者每人所得－教育程度別、臺北市所得收入者每人所得－性別,"統計期、統計項目、統計資料、資料來源、附註、更新日期。
"
697,臺北市政府主計處,家庭收支記帳調查,12,統計期、統計項目、統計資料、資料來源、附註、更新日期。,公共資訊,臺北市每戶家庭支出─月別、臺北市每戶家庭支出─經濟戶長行業別、臺北市每戶家庭支出─經濟戶長職業別、臺北市每戶家庭支出─所得總額組別、臺北市每戶家庭支出─行政區別、臺北市每戶每月消費商品與勞務費用支出,統計期、統計項目、統計資料、資料來源、附註、更新日期。
698,臺北市政府工務局大地工程處,山坡地違規潛勢分級圖層,11, 違規潛勢值,公共資訊,依據山坡地違規案例使用資料挖掘及克利金法產製違規潛勢圖 , 違規潛勢值
699,臺北市政府工務局大地工程處,臺北市山坡地人工邊坡位置圖,11,臺北市山坡地人工邊坡位置,公共資訊,臺北市山坡地人工邊坡調查建檔結果,臺北市山坡地人工邊坡位置
700,臺北市政府主計處,105年度臺北市地方總預算案,12,105年度臺北市地方總預算案,公共資訊,105年度臺北市地方總預算案,105年度臺北市地方總預算案
701,臺北市政府工務局大地工程處,山坡地違反水土保持法處分案件,11,X座標(TWD67)、Y座標(TWD67)、違規類別、面積(公頃)、處分日期、罰鍰金額(萬元)、處罰次別、暫停開發2年,公共資訊,95~104年臺北市山坡地依據水土保持法處分罰鍰案件列表,X座標(TWD67)、Y座標(TWD67)、違規類別、面積(公頃)、處分日期、罰鍰金額(萬元)、處罰次別、暫停開發2年
702,臺北市政府教育局,臺北市立圖書館各分館暨民眾閱覽室,7,名稱、地址、電話、傳真,公共資訊,臺北市立圖書館各分館暨民眾閱覽室分佈圖,名稱、地址、電話、傳真
703,臺北市政府政風處,臺北市政府廉政透明委員會,12,網站連結,公共資訊,臺北市政府為有效落實本府透明廉政公約，將現有本府「廉政肅貪中心」修正名稱為「廉政透明委員會」，期能促進全民參與，落實外部監督機制，透過定期會議機制，調查貪瀆違失案件並深入檢討本府各機關有關肅貪、防貪、公務倫理及行政透明措施等各項廉政工作之推動情形，提升廉政透明效能。,網站連結
704,臺北市政府政風處,臺北市政府政風處檢舉管道,12,檢舉管道、受理檢舉事項、檢舉獎金,公共資訊,提供市民檢舉不法管道與檢舉獎金等資訊,檢舉管道、受理檢舉事項、檢舉獎金
705,臺北市政府資訊局,市政網站整合平台之新聞稿,12,市政網站整合平台之新聞稿主要欄位說明,公共資訊,市政網站整合平台之新聞稿資料集描述,市政網站整合平台之新聞稿主要欄位說明
706,臺北市政府警察局,臺北市新錄影監視系統第1期設置地點清冊,16,分局、派出所、攝影機編號、設置地點。,生活安全及品質,提供本市各分局、各派出所轄區內新錄影監視系統攝影機安裝地址。,分局、派出所、攝影機編號、設置地點。
707,臺北市政府捷運工程局南區工程處,臺北都會區大眾捷運系統中正紀念堂站１號出口改建案之施工範圍圖,8,路線別、工程標號、施工起迄時間、工程轄區、轄區車站、施工工程處、施工工務所、工務所主任、聯絡電話、聯絡地址、施工範圍圖、備註,交通及通訊,臺北都會區大眾捷運系統中正紀念堂站１號出口改建案施工範圍相關資料,路線別、工程標號、施工起迄時間、工程轄區、轄區車站、施工工程處、施工工務所、工務所主任、聯絡電話、聯絡地址、施工範圍圖、備註
708,臺北市政府資訊局,臺北市降雨淹水模擬圖（社群加值版）,14,本市短延時強降雨條件下（78.8mm/hr、100mm/hr、130mm/hr）之可能積水範圍、可能積水深度,公共資訊,"臺北市降雨淹水模擬圖、圖層空間參考系統座標是WGS84座標
感謝社群夥伴kuro hsu及王景弘協助轉檔成GeoJSON",本市短延時強降雨條件下（78.8mm/hr、100mm/hr、130mm/hr）之可能積水範圍、可能積水深度
709,臺北市政府兵役局,臺北市各役政單位地址及連絡電話,12,單位、地址、聯絡電話,服兵役,提供各役政單位地址及連絡電話,單位、地址、聯絡電話
710,臺北市政府兵役局,各新兵訓練中心郵政信箱及連絡電話,2,部隊名稱、駐地、郵政信箱、聯絡電話,服兵役,提供各新兵訓練中心郵政信箱及連絡電話,部隊名稱、駐地、郵政信箱、聯絡電話
711,臺北市政府兵役局,替代役役男主副食費發放標準表,2,"服役地區,範圍,每月金額開伙,每月金額不開伙",服兵役,替代役役男主、副食費發放標準,"服役地區,範圍,每月金額開伙,每月金額不開伙"
712,臺北市政府兵役局,替代役役男薪俸標準表,2,"區分1,區分2,薪額,管理加給,專業加給,合計,備註",服兵役,替代役役男薪俸標準,"區分1,區分2,薪額,管理加給,專業加給,合計,備註"
713,臺北市政府兵役局,替代役役男地域加給支給標準表,2,"地域,地域等級,地點,職務,月支標準",服兵役,替代役役男地域加給支給標準,"地域,地域等級,地點,職務,月支標準"
714,臺北市信義區公所,臺北市各區里疏散避難圖資訊(信義區),14,區、里、災害通報單位通報單位、里辦公室聯絡資訊、可供避難處所、警消醫療單位、圖檔連結網址,公共資訊,提供臺北市各區里疏散避難圖資訊,區、里、災害通報單位通報單位、里辦公室聯絡資訊、可供避難處所、警消醫療單位、圖檔連結網址
715,臺北市政府產業發展局,臺北生技獎得獎名單,13,獎項、單位名稱、標的名稱,公共資訊,臺北生技獎得獎名單。,獎項、單位名稱、標的名稱
716,臺北市政府衛生局,臺北市預防接種合約院所,3,"title(標題), address_for_display(顯示用地址), telephone(電話)",就醫,臺北市預防接種合約院所,"title(標題), address_for_display(顯示用地址), telephone(電話)"
717,臺北市政府警察局,臺北市少年輔導委員會101年工作年報,12,工作年報,公共資訊,展現本會年度工作成果暨強化少年犯罪防治宣導,工作年報
718,臺北市政府主計處,104年度臺北市地方總預算半年結算報告,12,報告書,公共資訊,104年度臺北市地方總預算半年結算報告,報告書
719,臺北市政府警察局,臺北市少年輔導委員會103年工作年報,12,工作年報,公共資訊,展現本會年度工作成果暨強化少年犯罪防治宣導,工作年報
720,臺北市政府警察局,臺北市少年輔導委員會102年工作年報,12,工作年報,公共資訊,展現本會年度工作成果暨強化少年犯罪防治宣導,工作年報
721,臺北市政府社會局,社會福利統計_社會工作人員專業訓練,12,社會福利統計_社會工作人員專業訓練,公共資訊,"社會福利統計_社會工作人員專業訓練資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表--社會工作員工作成果】
",社會福利統計_社會工作人員專業訓練
722,臺北市政府主計處,104年度臺北市地方總預算附屬單位預算半年結算報告及綜計表,12,報告書,公共資訊,104年度臺北市地方總預算附屬單位預算半年結算報告及綜計表,報告書
723,臺北市政府衛生局,臺北市母嬰親善醫療院所,902,"name(醫院名稱), address_for_display(顯示用地址地址),address_for_system(系統辨識用地址) telephone(電話)",公共資訊,臺北市母嬰親善醫療院所,"name(醫院名稱), address_for_display(顯示用地址地址),address_for_system(系統辨識用地址) telephone(電話)"
724,臺北市政府都市發展局,租屋服務平臺媒合案件統計,15,年度、月份、房屋類型、格局、租期、每月租金、媒合件數,購屋及遷徙,租屋服務平臺103年11月1日至104年7月31日止媒合案件統計,年度、月份、房屋類型、格局、租期、每月租金、媒合件數
725,臺北市政府研究發展考核委員會,本府委託研究報告。,12,年度、計畫名稱、機關名稱、研究單位、主持人、計畫摘要、出版年月、報告電子檔。,公共資訊,本府歷年委託研究報告資料。,年度、計畫名稱、機關名稱、研究單位、主持人、計畫摘要、出版年月、報告電子檔。
726,臺北市政府主計處,105年度臺北市地方總預算案附屬單位預算及綜計表,12,報告書,公共資訊,105年度臺北市地方總預算案附屬單位預算及綜計表,報告書
727,臺北市政府都市發展局,廢巷及改道公告,8,廢巷及改道公告,公共資訊,廢巷及改道公告,廢巷及改道公告
728,臺北市大安區公所,臺北市各區里疏散避難圖資訊(大安區),14,區、里、圖檔連結網址,公共資訊,提供臺北市各區里疏散避難圖資訊,區、里、圖檔連結網址
729,臺北市政府公務人員訓練處,臺北e大數位學習網課程清單,7,"主類別：臺北e大主要課程分類
副類別：
次類別：
課名：數位課程名稱
時數：公務人員終身學習認證時數
課程資訊：課程簡介及說明網址
直接觀看：免登入直接觀看課程之網址
",求學及進修,"「臺北e大數位學習網」自90年11月正式開站以來，呈現穩定成長趨勢，目前會員人數已逾50萬人，課程數1,200餘門。
此一資料集係提供可免登入直接觀看之課程清單。","主類別：臺北e大主要課程分類
副類別：
次類別：
課名：數位課程名稱
時數：公務人員終身學習認證時數
課程資訊：課程簡介及說明網址
直接觀看：免登入直接觀看課程之網址
"
730,臺北市政府體育局,臺北市運動中心,4,名稱、郵遞區號、地址、電話、傳真、網址,休閒旅遊,運動中心聯絡資訊,名稱、郵遞區號、地址、電話、傳真、網址
731,臺北市政府體育局,臺北市體育局轄管運動場館,4,名稱、內容、交通資訊、地址,休閒旅遊,運動場館聯絡資訊,名稱、內容、交通資訊、地址
732,臺北市萬華區公所,臺北市各區里疏散避難圖資訊(萬華區),14,區、里、圖檔連結網址,公共資訊,提供臺北市各區里疏散避難圖資訊,區、里、圖檔連結網址
733,臺北市政府衛生局,藥商許可清冊,3,機構名稱、地址、電話、西藥、中藥、醫療器材,公共資訊,臺北市藥商許可清冊,機構名稱、地址、電話、西藥、中藥、醫療器材
734,臺北市政府社會局,社會福利統計_臺北市私立托嬰中心,903,社會福利統計_臺北市私立托嬰中心,公共資訊,社會福利統計_臺北市私立托嬰中心資料呈現於【社會局局網> 嬰幼兒照顧服務 > 統計資料】,社會福利統計_臺北市私立托嬰中心
735,臺北市政府教育局,臺北市政府教育局志工表揚名單,12,年度志願服務獎項獲獎名單,公共資訊,臺北市政府教育局志工表揚名單,年度志願服務獎項獲獎名單
736,臺北市政府教育局,臺北市財團法人教育基金會清冊,7,基金會名稱、董事、法人會址、設立時間,公共資訊,臺北市財團法人教育基金會清冊,基金會名稱、董事、法人會址、設立時間
737,臺北市政府人事處,臺北市政府103年辦理員額評鑑檢討報告,12,辦理程序，問題發現，評鑑建議作為，未來方向,公共資訊,臺北市政府103年辦理員額評鑑檢討報告，收錄103年臺北市政府辦理員額評鑑作業及檢討精進作為,辦理程序，問題發現，評鑑建議作為，未來方向
738,臺北市政府人事處,獎優案件,12,獎優案件,公共資訊,獎優案件,獎優案件
739,臺北市政府人事處,臺北市政府職期遷調案件,12,機關首長  機關副首長  一級單位主管   一級單位副主管  二級以下主管及非主管人員  採購人員  出納人員 ,公共資訊,臺北市政府104年實施職期遷調情形統計表,機關首長  機關副首長  一級單位主管   一級單位副主管  二級以下主管及非主管人員  採購人員  出納人員 
740,臺北市政府工務局水利工程處,臺北市藍色公路碼頭,4,"Riverside_Park,Location,Latitude,Longitude,Photo",休閒旅遊,"藍色公路碼頭位置,WGS84座標","Riverside_Park,Location,Latitude,Longitude,Photo"
741,臺北市政府工務局水利工程處,臺北市自行車河濱出入口,4," Riverside_Park,Location,Latitude,Longitude,TYPE,Photo
",休閒旅遊,"自行車河濱出入口說明,WGS84座標"," Riverside_Park,Location,Latitude,Longitude,TYPE,Photo
"
742,臺北市政府社會局,社會福利統計_兒童臨時托育補助,903,兒童臨時托育補助,公共資訊,社會福利統計_兒童臨時托育補助統計資料呈現於【社會局局網> 嬰幼兒照顧服務 > 統計資料】,兒童臨時托育補助
743,臺北市政府社會局,社會福利統計_臺北市育兒津貼,903,"臺北市育兒津貼
",公共資訊,社會福利統計_臺北市育兒津貼資料呈現於【社會局局網> 嬰幼兒照顧服務 > 統計資料】,"臺北市育兒津貼
"
744,臺北市政府社會局,社會福利統計_就業者家庭部分托育費用補助,903,"就業者家庭部分托育費用補助
",公共資訊,社會福利統計_就業者家庭部分托育費用補助資料呈現於【社會局局網> 嬰幼兒照顧服務 > 統計資料】,"就業者家庭部分托育費用補助
"
745,臺北市政府社會局,社會福利統計_弱勢家庭兒童托育補助,903,社會福利統計_弱勢家庭兒童托育補助,公共資訊,社會福利統計_弱勢家庭兒童托育補助統計資料呈現於【社會局局網> 嬰幼兒照顧服務 > 統計資料】,社會福利統計_弱勢家庭兒童托育補助
746,臺北市政府社會局,社會福利統計_危機家庭兒童托育補助,903,社會福利統計_危機家庭兒童托育補助,公共資訊,社會福利統計_危機家庭兒童托育補助統計資料呈現於【社會局局網> 嬰幼兒照顧服務 > 統計資料】,社會福利統計_危機家庭兒童托育補助
747,臺北市政府人事處,各機關職工調僱意願需求公告,12,各機關職工調僱意願需求公告,公共資訊,各機關職工調僱意願需求公告,各機關職工調僱意願需求公告
748,臺北市政府人事處,本府各機關至五類人員員額資訊,12,本府各機關至五類人員員額資訊,公共資訊,本府各機關至五類人員員額資訊,本府各機關至五類人員員額資訊
749,臺北市政府社會局,社會福利統計_早期療育個案服務,3,社會福利統計_早期療育個案服務,公共資訊,社會福利統計_早期療育個案服務資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】,社會福利統計_早期療育個案服務
750,臺北市政府研究發展考核委員會,年度施政計畫選項作業計畫,12,機關名稱、計畫編號、計畫名稱、主協辦機關、執行地點、計畫類別、列管等級、計畫期程。,公共資訊,呈現臺北市政府列管施政計畫選項作業計畫。,機關名稱、計畫編號、計畫名稱、主協辦機關、執行地點、計畫類別、列管等級、計畫期程。
751,臺北市政府研究發展考核委員會,臺北市政府委託研究案建議事項採行情形,12,建議事項、採行情形、辦理機關、採行等級。,公共資訊,本府委託研究案建議事項採行情形,建議事項、採行情形、辦理機關、採行等級。
